City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Vila Franca Do Campo,PT,2022-05-14 08:24:38,37.7167,-25.4333,61.2,88,83,10.09
164,Banda Aceh,ID,2022-05-14 08:24:38,5.5577,95.3222,85.57,72,100,6.38
165,Burnie,AU,2022-05-14 08:24:39,-41.0667,145.9167,59.94,95,41,15.95
166,Tiksi,RU,2022-05-14 08:24:39,71.6872,128.8694,24.31,79,99,8.86
167,Santa Cruz,BO,2022-05-14 08:21:22,-17.8,-63.1667,69.26,88,20,6.91
168,Plouzane,FR,2022-05-14 08:21:21,48.3833,-4.6167,57.52,72,20,10.36
169,Jamestown,US,2022-05-14 08:21:54,42.097,-79.2353,64.04,88,0,6.91
170,Freeport,US,2022-05-14 08:24:40,40.6576,-73.5832,64.17,88,100,0.0
171,Meadow Lake,US,2022-05-14 08:24:40,34.8014,-106.5436,62.08,12,0,4.09
172,Ternate,ID,2022-05-14 08:24:41,0.8,127.4,79.16,86,100,10.85
173,Barrow,US,2022-05-14 08:24:41,71.2906,-156.7887,23.02,86,100,11.5
174,Bonfim,BR,2022-05-14 08:24:42,3.0833,-59.95,76.71,80,97,7.92
175,Flic En Flac,MU,2022-05-14 08:24:42,-20.2742,57.3631,81.52,61,6,5.77
176,Katsuura,JP,2022-05-14 08:24:43,35.1333,140.3,70.38,89,100,8.25
177,Tayzhina,RU,2022-05-14 08:24:43,53.6679,87.4362,81.66,21,0,2.84
178,Khvoynaya,RU,2022-05-14 08:24:44,58.9,34.5333,56.55,48,96,12.57
179,Mehamn,NO,2022-05-14 08:24:44,71.0357,27.8492,39.11,77,42,4.88
180,Deloraine,AU,2022-05-14 08:24:45,-41.5333,146.6667,57.36,15,90,1.99
181,Urumqi,CN,2022-05-14 08:24:45,43.801,87.6005,81.55,8,0,22.37
182,Rio Grande,BR,2022-05-14 08:24:45,-32.035,-52.0986,61.43,77,100,10.0
183,Falkenberg,SE,2022-05-14 08:24:46,56.9055,12.4912,56.25,73,32,21.05
184,Vapi,IN,2022-05-14 08:24:40,20.3718,72.9049,92.53,50,3,13.87
185,Fortuna,US,2022-05-14 08:24:46,40.5982,-124.1573,55.74,94,100,0.0
186,Congonhas,BR,2022-05-14 08:24:47,-20.4997,-43.8578,59.14,97,51,4.54
187,Roebourne,AU,2022-05-14 08:24:47,-20.7833,117.1333,85.51,44,1,10.76
188,Kaeo,NZ,2022-05-14 08:24:47,-35.1,173.7833,56.32,87,100,4.99
