City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Djenne,ML,13.9061,-4.5533,83.93,9,100,10.92,overcast clouds
231,Kaitangata,NZ,-46.2817,169.8464,53.08,71,67,5.01,broken clouds
232,Quelimane,MZ,-17.8786,36.8883,66.15,94,40,0.0,scattered clouds
233,Vostok,RU,46.4856,135.8833,48.15,60,81,13.94,broken clouds
234,Kruisfontein,ZA,-34.0033,24.7314,50.47,88,0,4.72,clear sky
235,Laem Sing,TH,12.4816,102.0738,92.41,95,34,6.42,scattered clouds
236,Sept-Iles,CA,50.2001,-66.3821,48.06,66,40,4.61,scattered clouds
237,Andros Town,BS,24.7,-77.7667,78.76,74,84,13.33,broken clouds
238,Sorong,ID,-0.8833,131.25,83.77,73,71,6.13,broken clouds
239,Saint-Pierre,RE,-21.3393,55.4781,69.48,64,0,8.05,clear sky
240,Koumra,TD,8.9126,17.5539,78.82,71,91,8.48,overcast clouds
241,Hasaki,JP,35.7333,140.8333,64.8,62,100,15.14,overcast clouds
242,Castro,BR,-24.7911,-50.0119,56.34,97,100,3.06,overcast clouds
243,Saldanha,ZA,-33.0117,17.9442,50.05,81,0,8.52,clear sky
244,Road Town,VG,18.4167,-64.6167,78.89,78,95,20.24,overcast clouds
245,Arraial Do Cabo,BR,-22.9661,-42.0278,72.57,73,97,15.39,overcast clouds
246,Doka,SD,13.5167,35.7667,85.3,44,5,10.09,clear sky
247,Korla,CN,41.7597,86.1469,73.49,22,23,3.36,few clouds
248,Urengoy,RU,65.9667,78.3667,54.64,78,100,13.06,overcast clouds
249,Togur,RU,58.3631,82.8265,69.1,35,92,6.44,overcast clouds
250,Bella Union,UY,-30.2752,-57.6007,54.23,92,18,8.3,few clouds
251,Altay,CN,47.8667,88.1167,69.37,22,70,3.31,broken clouds
252,Airai,TL,-8.9266,125.4092,71.46,70,85,2.13,overcast clouds
253,Waingapu,ID,-9.6567,120.2641,85.28,64,7,7.16,clear sky
254,Mahebourg,MU,-20.4081,57.7,73.69,83,40,8.05,scattered clouds
