City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Bako,ET,62.04,broken clouds,5.7833,36.5667,Goh Hotel
531,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
532,Nalbari,IN,76.98,overcast clouds,26.4456,91.4354,Ganesh Hotel
534,Tarakan,ID,85.5,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
535,Garowe,SO,78.67,scattered clouds,8.4054,48.4845,Curubo Hotel
536,Phan Thiet,VN,89.37,scattered clouds,10.9333,108.1,Hotel Saigon-PT
537,Karlovac,HR,61.14,few clouds,45.4872,15.5478,Hotel Europe
538,Palmer,US,69.51,light rain,42.1584,-72.3287,Wedgewood Motel
540,Wewak,PG,86.45,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
541,Sugod,PH,86.52,broken clouds,12.987,124.0805,Jefstar Resort and Events venue
544,Trincomalee,LK,80.87,overcast clouds,8.5711,81.2335,Welcombe Hotel
547,Hami,CN,74.05,scattered clouds,42.8,93.45,Laoyutang Resort
548,Port-Gentil,GA,80.1,moderate rain,-0.7193,8.7815,Fengshui Residence
549,Jacareacanga,BR,74.23,light rain,-6.2222,-57.7528,Casa do Ian😎
550,Mitchell,US,62.58,clear sky,43.7094,-98.0298,Kelly Inn & Suites
552,Baruun-Urt,MN,61.63,few clouds,46.6806,113.2792,Ахмадын амралт сувилал
554,Amahai,ID,86.74,broken clouds,-3.3333,128.9167,HOTEL ISABELA
556,Senneterre,CA,64.56,light rain,48.3835,-77.2328,Motel Senabi
558,Nsanje,MW,63.39,clear sky,-16.92,35.262,Nsanje Discovery Lodge
559,Sancti Spiritus,CU,74.89,clear sky,21.9297,-79.4425,Hostal El Parque
560,Tabuk,PH,87.64,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
563,Guerrero Negro,MX,62.85,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
567,Amos,CA,66.18,light rain,48.5669,-78.1162,"Amosphère, complexe hôtelier"
568,Tumut,AU,62.1,overcast clouds,-35.3,148.2167,Amaroo Motel
570,Coahuayana,MX,76.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
571,Digha,IN,87.82,overcast clouds,21.6833,87.55,Khoniker Atithi
573,Peque,CO,66.7,overcast clouds,7.0212,-75.9093,Hotel Rodizzio
